id,index,period,timestamp,minute,second,type/id,type/name,possession,possession_team/id,possession_team/name,play_pattern/id,play_pattern/name,team/id,team/name,player/id,player/name,position/id,position/name,location/0,location/1,duration,shot/statsbomb_xg,shot/end_location/0,shot/end_location/1,shot/end_location/2,shot/technique/id,shot/technique/name,shot/body_part/id,shot/body_part/name,shot/type/id,shot/type/name,shot/outcome/id,shot/outcome/name,shot/first_time,shot/one_on_one,under_pressure,shot/aerial_won
3029016d-44e9-43f8-967c-7e2e19b1c9b6,75,1,01:01.4,1,1,16,Shot,4,746,Manchester City WFC,1,Regular Play,746,Manchester City WFC,4643,Georgia Stanway,15,Left Center Midfield,103,57,0.818259,0.029653896,119,43.6,1,93,Normal,40,Right Foot,87,Open Play,100,Saved,,,,
7c012a64-17fa-4ce4-882d-3601760e2a75,260,1,04:52.0,4,51,16,Shot,11,971,Chelsea FCW,1,Regular Play,971,Chelsea FCW,4659,Ramona Bachmann,23,Center Forward,110,49,0.561653,0.11933854,113,46,,93,Normal,37,Head,87,Open Play,96,Blocked,,,,
11d3dd04-a7dc-466f-8a13-0ba9687ef4c8,303,1,05:56.7,5,56,16,Shot,13,971,Chelsea FCW,4,From Throw In,971,Chelsea FCW,15550,Bethany England,17,Right Wing,106,53,1.348743,0.13441853,119,34.6,0.8,93,Normal,40,Right Foot,87,Open Play,98,Off T,,,,
d1e17a61-73dc-451e-bd53-a2d93d382b59,838,1,18:37.4,18,37,16,Shot,38,746,Manchester City WFC,2,From Corner,746,Manchester City WFC,15547,Melissa Lawley,22,Right Center Forward,107,54,0.669093,0.042562865,112,52,,93,Normal,40,Right Foot,87,Open Play,96,Blocked,,,,
441c6024-9644-4d69-b0cd-55ad5978dfcb,849,1,18:47.0,18,47,16,Shot,38,746,Manchester City WFC,2,From Corner,746,Manchester City WFC,17524,Jennifer Patricia Beattie,5,Left Center Back,113,38,1.399145,0.27504176,119,42.4,2,93,Normal,37,Head,87,Open Play,100,Saved,,,,
84a7176b-ebc9-46e0-9f09-c9a7a07a66cc,963,1,22:11.0,22,11,16,Shot,47,971,Chelsea FCW,1,Regular Play,971,Chelsea FCW,15550,Bethany England,17,Right Wing,100,57,1.330726,0.027737819,118,43,2.3,93,Normal,38,Left Foot,87,Open Play,100,Saved,,,,
7b5396c3-c356-448d-9090-d2baa0cd7cd4,1022,1,24:23.0,24,22,16,Shot,54,746,Manchester City WFC,1,Regular Play,746,Manchester City WFC,4654,Nikita Parris,23,Center Forward,106,35,1.002941,0.21126014,120,34.8,2.3,93,Normal,38,Left Foot,87,Open Play,98,Off T,,,,
6d697f93-b510-4e08-a105-9fd872b6c724,1399,1,33:29.7,33,29,16,Shot,71,971,Chelsea FCW,3,From Free Kick,971,Chelsea FCW,15553,Karen Julia Carney,21,Left Wing,93,33,1.870228,0.054445017,120,40.9,3.8,93,Normal,40,Right Foot,62,Free Kick,98,Off T,,,,
80d27b5e-c339-4e33-af8d-83d6c67966b2,1498,1,35:28.4,35,28,16,Shot,78,746,Manchester City WFC,6,From Counter,746,Manchester City WFC,15547,Melissa Lawley,22,Right Center Forward,105,56,0.677774,0.026954781,120,41.9,2.3,93,Normal,40,Right Foot,87,Open Play,100,Saved,,,,
4af34539-768e-4aca-ac70-9ed04eef1c5b,1527,1,35:56.2,35,56,16,Shot,80,971,Chelsea FCW,8,From Keeper,971,Chelsea FCW,10395,Maren Nævdal Mjelde,11,Left Defensive Midfield,96,30,2.236992,0.038786244,118,36.2,0.5,93,Normal,40,Right Foot,87,Open Play,100,Saved,,,,
